City,Country,Daily Budget
Hanoi,Viet Nam,$19.69
Saigon,Viet Nam,$20.53
Vientiane,Laos,$21.17
Hoi An,Viet Nam,$21.47
Pokhara,Nepal,$21.63
Jakarta,Indonesia,$22.22
Chiang Mai,Thailand,$22.41
Quito,Ecuador,$22.80
Phnom Penh,Cambodia,$23.04
Manila,Philippines,$23.12
Kathmandu,Nepal,$23.65
Delhi,India,$23.67
Granada,Nicaragua,$23.72
Yangon,Myanmar,$24.62
Colombo,Sri Lanka,$24.68
Goa,India,$24.81
Zanzibar City,Tanzania,$25.41
Cancun,Mexico,$25.44
La Paz,Bolivia,$25.57
Cartagena,Colombia,$25.70
Luang Prabang,Laos,$25.74
Bangkok,Thailand,$27.60
Bucharest,Romania,$27.85
Istanbul,Turkey,$28.44
Kuta,Indonesia,$28.49
Siem Reap,Cambodia,$28.50
Belgrade,Serbia,$28.60
Buenos Aires,Argentina,$28.66
Cusco,Peru,$29.52
Lima,Peru,$29.52
Mexico City,Mexico,$29.67
Phuket,Thailand,$30.20
San Jose,Costa Rica,$30.22
Xian,China,$30.34
Arusha,Tanzania,$30.82
Mumbai,India,$31.53
Budapest,Hungary,$31.95
Kiev,Ukraine,$32.14
Santa Ana,El Salvador,$32.24
Sofia,Bulgaria,$32.40
Santiago,Chile,$32.72
Rio de Janeiro,Brazil,$32.78
Krakow,Poland,$32.94
Taipei,Taiwan,$33.19
Beirut,Lebanon,$33.44
Fez,Morocco,$34.27
Marrakech,Morocco,$34.54
Montevideo,Uruguay,$35.41
Riga,Latvia,$36.40
Kuala Lumpur,Malaysia,$36.56
Warsaw,Poland,$36.88
Boracay Island,Philippines,$37.45
Dakar,Senegal,$37.51
Cape Town,South Africa,$38.01
Sarajevo,Bosnia and Herzegovina,$38.02
Antigua,Guatemala,$38.12
Vilnius,Lithuania,$38.14
Shanghai,China,$38.83
Beijing,China,$39.85
Cesky Krumlov,Czechia,$40.03
Panama City,Panama,$40.10
Cairo,Egypt,$40.81
Saint Petersburg,Russia,$41.92
Bratislava,Slovakia,$42.00
Zagreb,Croatia,$42.13
Amman,Jordan,$43.80
Moscow,Russia,$44.11
Prague,Czechia,$45.40
Split,Croatia,$46.57
Santorini,Greece,$46.86
Roatán Island,Honduras,$47.26
Seoul,South Korea,$48.75
Tenerife,Spain,$51.19
Nairobi,Kenya,$51.65
Tallinn,Estonia,$51.84
San Pedro,Belize,$53.89
Hong Kong,Hong Kong,$54.69
Valletta,Malta,$54.77
Singapore,Singapore,$55.22
Lisbon,Portugal,$55.93
Ljubljana,Slovenia,$57.67
Naples,Italy,$60.70
Cairns,Australia,$61.03
Montreal,Canada,$61.72
Athens,Greece,$62.79
Ibiza,Spain,$63.72
Berlin,Germany,$67.91
Auckland,New Zealand,$67.97
Bruges,Belgium,$69.19
New Orleans,United States,$69.80
Nice,France,$70.00
Madrid,Spain,$70.00
Macau,Macao,$70.26
Dubrovnik,Croatia,$71.74
Sydney,Australia,$72.39
Tokyo,Japan,$73.37
Brisbane,Australia,$73.80
Milan,Italy,$73.84
Edinburgh,United Kingdom,$74.30
Abu Dhabi,United Arab Emirates,$76.54
Dubai,United Arab Emirates,$77.22
Barcelona,Spain,$77.33
Luxembourg City,Luxembourg,$77.67
Florence,Italy,$78.37
Melbourne,Australia,$80.42
Oslo,Norway,$80.92
Queenstown,New Zealand,$81.31
Las Vegas,United States,$81.40
Rome,Italy,$81.63
Reykjavik,Iceland,$82.23
Los Angeles,United States,$83.72
Vancouver,Canada,$83.81
Vienna,Austria,$83.84
Bergen,Norway,$83.86
Miami Beach,United States,$85.08
Salzburg,Austria,$85.23
Toronto,Canada,$85.68
Helsinki,Finland,$85.81
Brussels,Belgium,$85.81
Dublin,Ireland,$86.28
Hamburg,Germany,$86.63
Munich,Germany,$87.56
Paris,France,$88.37
Tel Aviv,Israel,$88.97
Washington D.C.,United States,$89.30
Stockholm,Sweden,$90.79
Honolulu,United States,$93.00
London,United Kingdom,$93.65
Copenhagen,Denmark,$97.18
Interlaken,Switzerland,$99.46
Chicago,United States,$99.90
San Francisco,United States,$107.69
Boston,United States,$110.52
Amsterdam,Netherlands,$114.49
Venice,Italy,$119.07
New York City,United States,$123.58
Zurich,Switzerland,$133.33
